,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date,Summary,Meta_Score,User_Review
0,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,2006-11-19,"Tennis (1-4 players): Players grab the controller like a racket and swing – the game will register forehands, backhands, volleys, lobs, slices, spin and power depending on how fast the user swings and at what angle. Don't worry about moving around the court to get to the ball – the game automatically moves players into position. Baseball (1-2 players): Grip the controller like a bat and swat fastballs out of the park in a home run derby. Timing and bat speed will make all the difference between going yard and whiffing, so keep an eye on the ball and swing for the fences. In the two-player game, one player pitches and the other bats. Golf (1 player): Step up to the tee, hold the controller like a golf club and swing naturally to smack the ball onto the green. The harder players swing the club, the farther the ball will fly, so be sure to take some practice swings before going for the pin. After reaching the green, line up putts carefully, practice the stroke and try to hole out. [Nintendo]",76.0,8.1
1,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,2008-04-27,"Mario Kart Wii comes with the intuitive Wii Wheel, which makes it easy for novices to compete against veterans, so no one is left in the dust. And with a broadband hookup to Nintendo Wi-Fi Connection, players can compete with up to 11 other drivers from around the world for racing dominance. The game includes 16 new courses and 16 classic courses from previous Mario Kart games. For the first time ever, players have the option of racing with either karts or motorbikes. Players can also hit the road as their personalized Mii caricatures in addition to the handful of classic Nintendo characters found in the game. True to the series, the game features tons of racing, plenty of power-ups and oodles of objects for players to use to slow down other drivers. And 10 battle arenas keep players busy between trips around the circuit. Mario Kart Wii supports four different control options: Wii Remote with or without the Wii Wheel, Wii Remote and Nunchuk controller combo, Classic Controller and even the Nintendo GameCube controller. So there's bound to be a configuration that fits everyone's style. Mario Kart Wii launches with a new channel added to the Wii Menu to enhance game play: The Mario Kart Wii Channel. This new channel builds on the online community of Wii owners and lets players compete in tournaments, check worldwide rankings, see when their friends are playing and download ghost data. [Nintendo]",82.0,8.4
2,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,2009-07-26,"Wii Sports Resort is a collection of fun sports games that anyone can pick up and play. This sequel to the popular Wii Sports makes use of the Wii MotionPlus accessory, which gives players the most responsive and realistic experience possible. The Wii MotionPlus accessory, which is included with Wii Sports Resort, plugs into the base of the Wii Remote controller and, combined with the accelerometer and sensor bar, provides an experience that gives players an even greater sense of immersion. Just as with Wii Sports, people compete against friends and family. As the competition heats up, Wii Sports Resort is as much fun to watch as it is to play. First-time players should find it easy to pick up a Wii Remote and jump into the action. Wii Sports Resort takes place on a tropical island. A wide range of activities keep players coming back for one more round. Some sample activities include Sword Play, Power Cruising (racing a water scooter) and Disc Dog, which involves accurately tossing a disc to a cute, Mii-like dog. [Nintendo]",80.0,8.2
3,Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,2009-10-01,[PSP Minis] Tetris on the PSP.,85.0,7.7
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,2006-05-15,"The first new 2D Mario platformer since Super Mario World has arrived. Boasting ""incredible"" 3D graphics to accompany classic 2D gameplay, this fast-paced adventure will have Mario fans cheering as they make their way over fields, under water, through castles and into the air. New and familiar enemies are everywhere, not to mention ""mind-blowing"" challenges made possible by the dual screens of the Nintendo DS. Not only that, but players can link wirelessly with a friend to play as both Mario and Luigi in multiplayer mode. [Nintendo]",89.0,8.5
8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,2007-02-12,"In Wii Play, the star of the game is you. Create your own personal Mii character with the Wii console's built-in Mii Channel and then play as yourself in this compilation of nine simple, fun games like target shooting, table tennis and fishing. Wii Play comes bundled with a free Wii Remote, so a friend can instantly join in the action in any of the included games. You can play at home or save your Mii on your Wii Remote and play with it on a friend's console, or use any of the six ready-made guest characters. Wii Play's nine different games are the perfect introduction to what the Wii Remote can do: Shooting Range - A modern version of the Nintendo classic Duck Hunt. Shoot the targets on the screen simply by aiming your Wii Remote. Find Mii - Can you spot a face in the crowd? Use your Wii Remote to point out the correct Mii characters as quickly as you can. Table Tennis - How long can you ping pong? Use your Wii Remote like a paddle to bat the ball and try to beat the computer or human opponent. Pose Mii - Twist the Wii Remote to rotate the Mii characters and quickly slot them into the correct positions as they fall down the screen. Laser Hockey - Tilt and turn the Wii Remote to bash the puck into the opponent's goal, in this high-speed arcade-style game. Billiards - In this version of Nine Ball, aim the Wii Remote at the screen to line up your shot, then pull back and push forward to strike the ball. Fishing - Move the Wii Remote like a rod: dip the hook in the water, wait for the fish to bite (the controller will rumble) and pull back hard to land it. Charge - Take the bull by the horns! Steer your wild steer by holding the Wii Remote sideways, as if gripping reins, and topple scarecrows to score points. Tanks - Take control of a tank with the Wii Remote; aim the cannon, bounce shells off walls, and blast your opponent to bits. [Nintendo Europe]",58.0,6.6
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,2009-11-15,"New Super Mario Bros. Wii offers a combination of cooperation and competition. Players can pick each other up to save them from danger or toss them into it. Mario, Luigi and two Toads are all playable characters, while many others from the Mushroom Kingdom make appearances throughout the game. Players can even ride different Yoshi characters and use their tongues to swallow enemies, items and even balls of fire. In some areas, players use the motion abilities of the Wii Remote controller. The first player to reach a seesaw might make it tilt to help his or her character reach a higher platform - or might maike it tilt incorrectly just to mess with other players. New items include the propeller suit, which will shoot players high into the sky with just a shake of the Wii Remote, and Mario’s new ability to transform into Penguin Mario. At the end of each stage during the coin battle multiplayer mode, players are ranked based on the number of coins they have collected. [Nintendo]",87.0,8.3
10,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,2005-11-14,"Race and battle with up to eight karts at once, regardless of whether or not everyone has a Game Card. The all–star cast includes Mario, Luigi, Peach, Yoshi, Donkey Kong, Wario, Bowser, and Toad. With courses drawn from every Mario Kart game - Super Mario Kart, Mario Kart 64, Mario Kart: Super Circuit, Mario Kart: Double Dash - players may tour many of their favorites as well as all-new tracks and battle arenas. The game has a new dimension of fun, since players can battle others around the world by connecting to Nintendo's new wireless gaming service, Nintendo Wi-Fi Connection, via Wi-Fi. With over 30 courses and all the crazy items and frantic speed players would expect, this game is a Mario Kart fan's dream. [Nintendo]",91.0,8.7
11,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,2008-05-19,"The active-play phenomenon started by Wii Sports now spreads to your whole body thanks to the pressure-sensitive Wii Balance Board (name not final), which comes packed with Wii Fit. The board is used for an extensive array of fun and dynamic activities, including aerobics, yoga, muscle stretches and games. Many of these activities focus towards providing a ""core"" workout, a popular exercise method that emphasizes slower, controlled motions. Family members will have fun staying active and talking about and comparing their results and progress on a new channel on the Wii Menu. [Nintendo]",80.0,7.7
12,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,2009-10-04,"Wii Fit Plus is the new, enhanced version of the original Wii Fit software, packed with every feature and exercise from the original Wii Fit in addition to new exercises, balance games and tools to personalize your exercise routine. Workouts combine the original Wii Fit activities and selections from 15 new balance games and six new Strength Training and Yoga activities. Customize your workout! For the first time, you can mix and match which Strength Training and Yoga activities you prefer on a given day, or choose any one of 12 recommended workouts based on your fitness goals. 15 new activities will have you running obstacle courses across platforms, channeling your martial arts groove with Rhythm Kung Fu, or flapping your arms to help chicken-suited characters aim for targets in Bird's-eye Bull's-eye. Have fun with up to eight friends or family members, and take turns using one Wii Balance Board accessory to play nine different games in the new multiplayer mode. [Nintendo]",80.0,7.5
13,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,2010-11-04,"Kinect Adventures is a compilation of games for the Xbox 360's motion-sensing accessory Kinect. It will include river rush, which is a rafting simulation.",61.0,6.3
14,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,2014-11-18,"Grand Theft Auto 5 melds storytelling and gameplay in unique ways as players repeatedly jump in and out of the lives of the game's three protagonists, playing all sides of the game's interwoven story.",97.0,7.9
